timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
22578,0.0000,-0.0005,0.9885,0.0086,0.0117,-0.0338,idle
22629,0.0000,-0.0010,0.9893,0.0520,0.0226,-0.0439,idle
22680,0.0000,-0.0002,0.9953,0.0836,0.0221,-0.0215,idle
22731,0.0000,0.0005,0.9992,0.1120,-0.0424,0.0514,idle
22782,0.0000,0.0003,0.9989,0.1301,-0.0375,0.1113,idle
22833,0.0000,0.0006,0.9948,0.1568,0.0290,0.0691,idle
22884,0.0000,0.0001,0.9960,0.1446,0.0639,0.1071,idle
22935,0.0000,0.0006,0.9930,0.0982,0.0857,0.0475,idle
22986,0.0000,0.0008,0.9908,0.0549,0.0711,0.0272,idle
23037,0.0000,0.0003,0.9917,0.0723,0.1174,-0.0256,idle
23088,0.0000,0.0007,0.9917,0.0861,0.0995,-0.0374,idle
23139,0.0000,-0.0010,0.9927,0.1201,0.0500,-0.0391,idle
23190,0.0000,-0.0000,0.9993,0.1198,-0.0124,-0.0238,idle
23241,0.0000,0.0003,1.0052,0.1150,-0.0380,0.0542,idle
23292,0.0000,0.0004,1.0007,0.1157,-0.0660,0.1074,idle
23343,0.0000,0.0004,0.9989,0.1163,-0.0854,0.1255,idle
23394,0.0000,0.0001,1.0000,0.0542,-0.0368,0.0469,idle
23445,0.0000,0.0001,1.0001,0.0182,0.0097,0.0130,idle
23496,0.0000,0.0005,1.0040,0.0138,0.0027,0.0027,idle
23547,0.0000,0.0002,1.0040,-0.0034,0.0398,-0.0697,idle
23598,0.0000,0.0000,1.0004,-0.0492,0.0023,-0.0650,idle
23649,0.0000,0.0004,1.0009,-0.0050,-0.0430,-0.0795,idle
23700,0.0000,0.0003,1.0001,0.0274,-0.0258,-0.0164,idle
23751,0.0000,0.0000,0.9962,0.0059,-0.0364,0.0036,idle
23802,0.0000,0.0007,0.9925,0.0269,0.0054,0.0593,idle
23853,0.0000,0.0012,0.9910,0.0254,0.0237,0.0550,idle
23904,0.0000,0.0011,0.9964,0.0242,0.0275,-0.0126,idle
23955,0.0000,0.0019,0.9978,-0.0302,0.0413,-0.0376,idle
24006,0.0000,0.0020,0.9994,-0.0630,0.0600,-0.0805,idle
24057,0.0000,0.0021,0.9980,-0.0588,0.0918,-0.1317,idle
