timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
393220,-0.0373,0.0690,0.9934,-20.1642,2.8721,6.6827,left_tilt
393272,-0.0547,0.0608,0.9925,-17.5291,-0.4347,7.4138,left_tilt
393324,-0.0539,0.0487,0.9893,-18.0577,1.3183,6.0598,left_tilt
393376,-0.0492,0.0341,0.9936,-12.0074,-0.9922,4.6972,left_tilt
393428,-0.0509,0.0213,0.9915,-7.2296,0.3273,5.8010,left_tilt
393480,-0.0783,0.0277,0.9913,-2.8991,-1.6323,5.2672,left_tilt
393532,-0.0658,-0.0202,0.9906,-1.2392,-3.8810,0.7715,left_tilt
393584,-0.0795,0.0111,0.9918,-2.1433,-3.4493,-2.7838,left_tilt
393636,-0.1100,0.0497,0.9867,-1.4667,-5.3926,-6.0617,left_tilt
393688,-0.1134,0.0630,0.9838,-1.8765,-5.7502,-6.7786,left_tilt
393740,-0.1091,0.0629,0.9848,-3.4242,-4.0562,-4.2911,left_tilt
393792,-0.1141,0.0466,0.9845,-3.8577,-3.5499,-3.1377,left_tilt
393844,-0.1552,0.0416,0.9911,-4.4489,-2.7417,0.3483,left_tilt
393896,-0.1731,0.0312,0.9981,-3.4699,-2.5746,0.7387,left_tilt
393948,-0.1532,0.0278,0.9948,-2.7126,-1.6210,0.7686,left_tilt
394000,-0.1558,0.0263,0.9925,-1.7297,-2.7696,0.4886,left_tilt
394052,-0.1452,0.0304,0.9922,-1.3908,-2.7374,-0.9750,left_tilt
394104,-0.1344,0.0241,0.9840,-1.0249,-1.9742,-0.9948,left_tilt
394156,-0.1412,0.0121,0.9858,-1.3505,-1.2659,-0.0869,left_tilt
